                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                  1.756,                 2.2168,                  2.431,                0.61284,                0.85741,                0.86576,                0.50943,                  1.439,                 2.2035,                 2.3253,             0.00091189,             0.00091189,             0.00091189
                     91,                 1.7179,                 2.2866,                   2.47,                 0.6161,                0.76568,                0.79957,                0.45124,                 1.5743,                 2.5204,                 2.3669,              0.0009109,              0.0009109,              0.0009109
                     92,                 1.6681,                 2.2003,                 2.4062,                0.61247,                0.16517,                 0.3318,                0.20946,                 1.7315,                 3.2359,                   2.59,             0.00090991,             0.00090991,             0.00090991
                     93,                 1.7407,                 2.2152,                 2.4691,                0.38067,                0.16222,                 0.2511,                0.14544,                 1.6859,                 3.1937,                 2.5937,             0.00090892,             0.00090892,             0.00090892
                     94,                 1.7045,                 2.2186,                 2.4539,                0.92579,                0.37046,                0.62187,                0.34205,                 1.6687,                 2.8219,                 2.5522,             0.00090793,             0.00090793,             0.00090793
                     95,                 1.6474,                 2.1588,                 2.3637,                0.84061,                0.68863,                0.89562,                0.53217,                 1.6161,                 2.2329,                 2.4503,             0.00090694,             0.00090694,             0.00090694
                     96,                 1.6656,                  2.194,                 2.3501,                 0.8743,                  0.756,                0.89657,                 0.5546,                 1.5116,                 2.0215,                 2.3371,             0.00090595,             0.00090595,             0.00090595
                     97,                  1.663,                 2.1604,                  2.392,                 0.9097,                0.76605,                0.89098,                0.56828,                 1.4337,                 1.8371,                  2.263,             0.00090496,             0.00090496,             0.00090496
                     98,                 1.6227,                 2.1212,                 2.3547,                0.94478,                0.75202,                0.90172,                0.59609,                  1.333,                 1.6642,                 2.2016,             0.00090397,             0.00090397,             0.00090397
                     99,                 1.5558,                 2.1108,                 2.2956,                0.95712,                0.79416,                 0.9325,                0.63124,                 1.2602,                 1.6309,                 2.1379,             0.00090298,             0.00090298,             0.00090298
                    100,                 1.6149,                 2.0239,                 2.3158,                0.83462,                0.75734,                0.91554,                0.58441,                 1.4162,                 1.8628,                 2.2386,             0.00090199,             0.00090199,             0.00090199
                    101,                 1.5168,                 2.1338,                 2.2985,                0.55305,                0.82349,                0.79245,                0.43366,                 1.5745,                 2.1673,                 2.3569,               0.000901,               0.000901,               0.000901
                    102,                 1.6727,                 2.0743,                  2.268,                0.61294,                0.79242,                0.79771,                0.44716,                  1.449,                 2.2104,                 2.2641,             0.00090001,             0.00090001,             0.00090001
                    103,                 1.5658,                 2.2999,                 2.2885,                0.74577,                0.81902,                0.91106,                0.62709,                 1.2519,                 1.8988,                 2.0985,             0.00089902,             0.00089902,             0.00089902
                    104,                 1.6417,                 2.2716,                 2.3336,                0.73206,                0.86209,                0.94022,                0.66236,                 1.2589,                 1.7034,                 2.0788,             0.00089803,             0.00089803,             0.00089803
                    105,                 1.5054,                  2.177,                 2.2465,                 0.7349,                0.83666,                0.92681,                0.65019,                 1.2038,                 1.6772,                 2.0663,             0.00089704,             0.00089704,             0.00089704
                    106,                 1.6103,                 2.1266,                 2.3073,                0.83736,                0.87813,                 0.9245,                 0.6319,                 1.1304,                 1.7431,                 2.0621,             0.00089605,             0.00089605,             0.00089605
                    107,                 1.6977,                 2.2066,                  2.276,                0.92311,                0.78135,                0.93885,                0.60615,                  1.224,                  1.776,                 2.1162,             0.00089506,             0.00089506,             0.00089506
                    108,                 1.5649,                 2.1273,                 2.3133,                 0.8915,                0.88802,                0.93844,                 0.6581,                 1.1475,                  1.639,                 2.0615,             0.00089407,             0.00089407,             0.00089407
                    109,                 1.6522,                 2.1641,                 2.2894,                 0.8144,                0.92938,                0.92584,                0.65574,                 1.2284,                 1.6525,                 2.1127,             0.00089308,             0.00089308,             0.00089308
                    110,                 1.6532,                 2.1572,                 2.2922,                 0.6761,                0.87778,                0.90531,                0.58752,                 1.4218,                 1.8767,                 2.2469,             0.00089209,             0.00089209,             0.00089209
                    111,                 1.5801,                 1.9517,                 2.2707,                0.68483,                0.88082,                0.93318,                0.64369,                 1.2706,                 1.8652,                 2.1371,              0.0008911,              0.0008911,              0.0008911
                    112,                 1.5253,                 2.0332,                 2.1583,                0.69723,                0.84409,                0.94628,                0.63366,                 1.4079,                 1.7541,                 2.2221,             0.00089011,             0.00089011,             0.00089011
                    113,                  1.526,                 1.9174,                 2.2099,                0.67318,                0.92067,                0.93041,                0.63013,                  1.326,                 1.6775,                 2.2001,             0.00088912,             0.00088912,             0.00088912
                    114,                 1.5597,                 2.0789,                 2.2533,                0.73469,                0.92123,                0.91408,                0.63974,                 1.2167,                 1.6805,                 2.1227,             0.00088813,             0.00088813,             0.00088813
                    115,                 1.4391,                 1.8733,                 2.1672,                0.69491,                0.92575,                0.91429,                0.67431,                 1.1191,                 1.6827,                 2.0321,             0.00088714,             0.00088714,             0.00088714
                    116,                 1.6922,                 2.2299,                  2.189,                0.71456,                0.93333,                0.95263,                0.66027,                 1.2499,                 1.5665,                 2.0735,             0.00088615,             0.00088615,             0.00088615
                    117,                 1.5031,                 2.0163,                 2.1985,                0.81515,                0.92536,                0.96836,                0.63229,                 1.3101,                 1.4593,                 2.1133,             0.00088516,             0.00088516,             0.00088516
                    118,                 1.6014,                 2.1332,                 2.2987,                0.86211,                0.90065,                0.95707,                0.65375,                 1.2488,                 1.4662,                  2.059,             0.00088417,             0.00088417,             0.00088417
                    119,                 1.4673,                 1.9132,                 2.1247,                0.83575,                0.94444,                0.94842,                0.67976,                 1.1456,                 1.4974,                 2.0398,             0.00088318,             0.00088318,             0.00088318
                    120,                  1.542,                  1.962,                 2.2492,                0.80742,                0.94558,                0.91774,                0.62949,                 1.2303,                 1.7674,                 2.1546,             0.00088219,             0.00088219,             0.00088219
                    121,                 1.4869,                 2.0784,                 2.2862,                 0.5243,                0.77756,                0.71483,                0.45815,                 1.4207,                 2.8891,                 2.2919,              0.0008812,              0.0008812,              0.0008812
                    122,                 1.5274,                 1.9588,                 2.2114,                0.64944,                0.78362,                0.69506,                0.44663,                 1.4202,                 3.0463,                 2.2366,             0.00088021,             0.00088021,             0.00088021
                    123,                 1.3773,                 1.9543,                 2.1656,                 0.7976,                0.88385,                0.95423,                0.60518,                 1.2451,                 1.9172,                 2.0992,             0.00087922,             0.00087922,             0.00087922
                    124,                 1.4766,                 1.8372,                 2.1954,                0.79623,                0.91109,                0.97835,                0.63624,                 1.2074,                 1.5478,                 2.0367,             0.00087823,             0.00087823,             0.00087823
                    125,                 1.4546,                 1.8374,                 2.1169,                0.80699,                0.89576,                0.97565,                0.71987,                 1.0568,                 1.4496,                 1.9557,             0.00087724,             0.00087724,             0.00087724
                    126,                  1.443,                  1.855,                 2.1856,                0.87853,                0.90719,                0.97113,                0.71017,                 1.0677,                 1.3418,                 1.9242,             0.00087625,             0.00087625,             0.00087625
                    127,                 1.5086,                 1.8604,                   2.21,                0.84967,                0.88608,                0.97759,                0.74041,                 1.0385,                 1.4239,                 1.8518,             0.00087526,             0.00087526,             0.00087526
                    128,                 1.5203,                 1.9445,                 2.2022,                0.97429,                0.81171,                0.98354,                0.71542,                 1.0594,                 1.5871,                 1.8496,             0.00087427,             0.00087427,             0.00087427
                    129,                 1.5558,                 1.9911,                  2.247,                0.81811,                0.95938,                0.98384,                0.70764,                  1.066,                 1.5202,                 1.8647,             0.00087328,             0.00087328,             0.00087328
                    130,                 1.4105,                 1.8547,                 2.1438,                0.88778,                0.97162,                0.98452,                0.70749,                 1.1211,                 1.3378,                 1.9146,             0.00087229,             0.00087229,             0.00087229
                    131,                  1.446,                 1.9453,                 2.1195,                0.84248,                0.97173,                0.98642,                0.75981,                 1.0095,                 1.2821,                 1.8367,              0.0008713,              0.0008713,              0.0008713
                    132,                 1.3305,                 1.6839,                 2.0372,                0.82902,                0.95762,                0.98686,                0.76319,                 1.0052,                 1.3372,                  1.859,             0.00087031,             0.00087031,             0.00087031
                    133,                 1.3682,                 1.6778,                 2.0933,                0.80478,                0.87828,                0.94465,                0.64666,                 1.1656,                 1.5524,                 1.9734,             0.00086932,             0.00086932,             0.00086932
